AvgSteps,AvgDistance,AvgTemperature,Humidty,AvgWindSpeed,Precipitation
5207,2.208815323,43.5,9,10.6,0.68
5599.5,2.387088131,41.5,0,10.4,0
5002.25,2.09095217,49,0,5.4,0
3375.25,1.43896147,49,0,4,0
4990.75,2.095028787,41,0,8,0
5052.25,2.16110496,40.5,0,4.8,0
8670.25,3.616519043,45,0,2.9,0
4242.25,0.439023472,54,0,1.9,0
4948.5,2.063571745,61,0,4.6,0
5612,2.42591674,52,0,5.8,0.06
4051.5,1.71736271,39.5,0,7.4,0
6565.25,2.807807795,45.5,0,3.8,0
3861.5,1.713866253,54,0,8.8,0
7392.5,3.030248007,52,0,6.9,0
988.5,0.435139504,41.5,2,5.8,0.2
4035,1.657495571,53.5,8,3.8,0
3501.25,1.471625332,58.5,0,2.3,0
4274.25,1.799034544,64,4,3.3,0.26
8665,3.455225864,48.5,6,4.2,0.03
5131.75,2.231742693,52.5,0,6.2,0
11770.5,4.713108946,47.5,0,3.3,0
6822.5,2.829061116,57,4,3.6,0.63
4749.75,1.849045616,68,4,3.6,0.24
3783.25,1.575048716,66.5,6,1.9,0.01
4314.5,1.799052259,55.5,6,8.1,0.96
5884.25,2.31843667,55,0,9.3,0
5974.5,2.351879982,55.5,0,3.4,0.01
8844.5,3.444751993,56.5,0,4.3,0
7739.5,3.154182905,69,3,5.3,0.01
3187.75,1.464386625,59.5,15,6,0.7
6760.25,2.742265279,59.5,0,3.9,0
2510.25,1.087254207,58,5,4.3,0.24
5143.75,1.923199734,66.5,0,3.4,0.08
4762.75,1.840002214,62,0,6.5,0
6470,2.774685562,57,0,3.4,0.02
781,0.322708149,55,20,4.6,1.03
5692,2.504875996,52.5,2,7.6,0.07
1857.5,0.784550487,49,0,3.8,0.01
6527.75,2.635,50.5,0,2.7,0.01
7610.25,3.095150576,54,10,2,0.04
7434.75,2.958443313,53,5,3.1,0
5181.75,2.177147919,64,7,3.6,0.01
2681.75,1.095476085,53,6,2.4,0.06
5301.75,2.313717892,62,12,1.2,0.11
5342.75,2.294391054,54.5,24,6.7,1.31
6722.5,2.783188663,62.5,1,5.5,0
7957.25,3.161204606,61,4,1.3,0.11
6156.75,2.549406554,63,3,4.6,0
8006.75,2.507329495,57,0,6.7,0
4846.25,1.917604074,64.5,3,1.5,0.04
3962,1.637690434,62.5,1,3.4,0.04
2042,0.87214349,51,21,7.4,1.32
5916.75,2.429284765,45,21,5.7,0.7
7610.25,3.078476528,48,16,2.3,0.3
1928.5,0.788042516,56.5,7,4.3,0.01
3094,1.194869353,62.5,4,2.9,0.12
2682.25,1.104856067,68,0,4.8,0.03
3971,1.62779008,65.5,0,2.9,0
3722.75,1.544158547,68,1,3.3,0.06
3674.25,1.481640833,75.5,6,5.5,0
7255.75,3.098445527,63.5,0,6.1,0
4321,1.798332595,64,0,4,0
4304.25,1.76705713,63.5,11,4.7,0.48
4795.5,1.935615589,67,2,8.5,0
4100.75,1.712389283,63,0,4.8,0
3168.25,1.373644818,72.5,4,4.5,0.2
5917.5,2.558647033,72,0,4.1,0
2328.75,0.937900797,66.5,7,4.2,0.17
3684.75,1.592807795,63,9,5,0.8
6208.75,2.655584588,63.5,17,2.4,0.95
3568,1.511069531,71.5,8,2.9,0
4129.5,1.736640833,71.5,0,2.8,0
4946.5,2.00513729,71,5,3.9,0.86
2671.75,1.138976971,64,0,5.5,0
5879.75,2.474127547,62,0,4.6,0
4956,2.099105403,72.5,0,4.6,0
2651.5,1.090726306,75.5,6,5.2,0.04
1038.75,0.435651019,73.5,0,2.3,0
4159,1.906135961,72,1,6.2,0
6425,2.658875111,69,0,6.1,0
6006.25,2.667858725,65,15,6.8,0.62
6117.5,2.514368911,70,7,6.2,0.45
3053,1.276915412,66.5,0,4.8,0
6010.5,2.632152347,60,7,5.7,0.6
6120,2.621417183,65.5,6,6.1,0
5586.75,2.376771479,70.5,0,4.7,0
5725,2.473485385,72.5,1,5.2,0.04
4190.25,1.7349845,72.5,0,1.6,0
4615.5,1.907340567,70,21,1.6,0.79
5040.25,2.137017272,68.5,20,2.9,0.11
2874.75,1.217130204,71.5,21,3,0.42
9345.25,3.807480071,71,11,5.4,0.53
7439.75,3.105221435,70,0,5.7,0
10371.75,4.309426484,73.5,0,4.5,0
8049.5,3.376284322,75.5,0,2,0
5319.75,2.121503543,78,6,2.2,0.86
5586,2.233872896,79.5,0,3,0
6290,2.545790523,80,0,3,0
9944.75,3.974698849,81,0,2.4,0
9827.25,3.981065102,81.5,1,4.9,0.08
5251,2.086744907,76,0,6.3,0.06
5551.75,2.197559787,75,0,4.5,0
2473.25,1.264140833,78,0,2.4,0.02
7212.25,2.75394597,81,0,1.9,0
5093.5,2.064213906,82,0,3,0
5053.5,2.097544287,79,0,3.7,0
11326.25,4.657090345,83,0,3.5,0
3316.5,1.308569531,79,0,4.8,0
5524.75,2.30309566,73,0,2.5,0.04
7169.25,2.975205934,78,0,2.8,0
3833.5,1.542982728,81,0,2.3,0
1877.75,0.768979185,80,9,4.8,0.79
7751.75,2.987482285,79.5,7,5.5,0
8652.25,3.642524358,77.5,0,4.2,0
7380.25,3.142305137,82.5,0,5.4,0
5636.25,2.188768822,76.5,0,3.6,0
3934.75,1.492896368,81.5,0,2.9,0
3429.25,1.387287422,83,4,3.9,1.82
7651.5,3.087953942,75,17,4.8,0.51
5646,2.30265279,81,1,3.9,0
5201.75,2.466919841,88.5,0,4.3,0
4117,1.555396368,87.5,0,6,0
5532.5,2.293881754,81,8,3.7,1.66
3191.75,1.227254207,70.5,10,4.1,0.53
4857,1.942021701,75,6,3,0.02
5405.5,2.244816209,77,0,1.7,0
6811.5,2.84090124,78.5,0,2.3,0
6035.5,2.456660762,78.5,0,2.7,0
4841.25,1.938768822,79.5,0,5.9,0.01
5385.75,2.260726306,81.5,0,4.4,0
6964,2.724926926,85,0,4.3,0.01
5146,2.124940213,78.5,8,3.4,0.36
2907.5,1.260181577,78.5,4,2.1,0
4659.75,2.004348981,78.5,0,3.5,0
5655.75,2.318221878,77,1,4.9,0.21
4123.75,1.702626218,78,8,2.7,0
3037.25,1.254218335,76,0,4.2,0
5950.25,2.500416298,75,5,3.2,0.04
4206,1.802639504,76.5,10,2.6,1.18
5349,2.285686448,75.5,10,4.9,0.2
3950.5,1.573115589,75.5,0,3.9,0.08
3857.25,1.618208592,73.5,0,5.1,0
6019.25,2.617936227,71.5,0,3,0
3996.25,1.647650576,76.5,0,3.5,0
5636.5,2.232409212,75,3,3.8,0.07
14906,6.399911426,78.5,1,3.5,0
5917.75,2.445992028,77.5,1,3.9,0
3269.5,1.368275022,73.5,1,2.8,0
8019,3.352192205,80,3,3,0
2566,1.168511957,80,6,3,0.64
4660.25,1.889736492,81,0,3,0
7815,3.242134632,81.5,0,2.8,0
4223,1.709309123,80.5,2,3.6,0.1
5623.5,2.243673605,80.5,4,4.3,1.01
9302.75,3.938817538,69.5,7,3.2,0.09
4658.75,2.127497786,70,0,5.1,0
6860.5,2.936691763,70,0,8.7,0
4511.5,1.962125775,67.5,0,7,0
8084.75,3.409521701,68.5,0,3.3,0
7561.75,3.081908769,70.5,9,3.7,0.08
10631.75,4.308215235,73,1,4.4,0
5345,2.026107174,76.5,0,4.3,0
6197.25,2.613456599,75,0,5.5,0
8301,3.212803366,70.5,0,4.5,0
2534.25,1.038545173,71.5,9,2.6,0.3
6726.25,2.71129318,74.5,3,3.1,0
9968.25,4.105675376,77.5,2,3.8,0
9057.25,3.721233392,69.5,0,5.2,0
5134.25,2.126049601,62.5,3,8.3,0.32
4818.5,2.076379539,65.5,4,5,0.02
4804.5,2.133799823,70,0,2,0
8073.75,3.308658105,71,0,4.7,0
7477,2.951572188,71,6,2.8,0.01
6944.75,2.922588574,78.5,0,5.3,0
8393.75,3.504926926,71,5,4.6,0.17
3000.25,1.230894597,64.5,1,6.6,0
4503,1.948751107,67.5,0,3.3,0
6075,2.476348539,75,0,2.4,0
7481.75,3.157063773,72.5,0,2,0
9722.5,4.212291851,69,0,5.7,0
8170.5,3.334771922,63,0,6.1,0
8788.75,3.514282551,61,0,3.1,0
7684,3.115429584,67,0,5,0
4355.25,1.971567759,72.5,0,2.5,0
7371,3.111638618,76.5,0,3.6,0
7085,2.942039415,79.5,0,5.8,0.11
6904,3.003133304,69.5,1,5.7,0
6440.25,2.675026572,68.5,0,3.4,0
8673.75,3.931014172,73,0,4.5,0.02
9929,4.285584588,67.5,0,3.4,0
4216.75,1.869306909,73.5,0,2.9,0
6727.75,2.765542516,72.5,0,6.3,0
9228,3.951062888,65.5,0,6.9,0
4780.25,2.193795394,72,0,3.7,0
8238.75,3.430597874,78,0,6.4,0.03
7932.5,3.406908769,58,22,6.8,0.34
6987,2.872825509,58,8,6.5,0
4180,1.83620682,53,0,5.3,0
5351.75,2.34908326,63.5,0,2.9,0.01
8343.25,3.678518601,69,4,3.9,0.2
8108.75,3.363235164,60.5,3,7.9,0.02
8458,3.761886625,55,3,10.4,0.54
9575.5,4.350502657,62,0,9.8,0
10679,4.663066873,59.5,0,9.3,0
3650.25,1.549089903,61,0,3.6,0
4627.75,1.855759522,60,0,2.3,0
7074.75,2.870564659,65,0,4.1,0
7009.75,2.855930027,57.5,0,3.2,0
5239,2.069621346,59,4,9.9,1.83
14512.25,6.514791851,54,0,13.9,0
7454,3.016731621,52.5,0,8.9,0
