Date,Avinash_Distance,Juhan_Distance,Daniel_Distance,Viet_Distance,Avg_Distance,Precipitation,,,,,,,,,,
2019-01-19,3.43,1.75,2.5,1,2.17,0.29,,,,,,,,,,
2019-01-20,1.00,0.06,0.63,0.41,0.53,0.88,,,,,,,,,,
2019-01-21,2.79,1.9,1.2,1.6,1.87,0,,,,,,,,,,
2019-01-22,3.93,2.8,5.3,0.97,3.25,0,,,,,,,,,,
2019-01-23,1.00,0.38,0.78,1.2,0.84,0,,,,,,,,,,
2019-01-24,2.63,3.54,2,1.6,2.44,1.33,,,,,,,,,,
2019-01-25,2.03,7.6,3.5,1.2,3.58,0,,,,,,,,,,
2019-01-26,4.01,0.32,5.4,3.6,3.33,0,,,,,,,,,,
2019-01-27,3.68,1.2,3.5,0.05,2.11,0,,,,,,,,,,
2019-01-28,2.57,0.57,1.8,5,2.48,0,,,,,,,,,,
2019-01-29,2.89,9,1.2,0.02,3.28,0.23,,,,,,,,,,
2019-01-30,3.84,0.48,0.05,1.5,1.47,0.01,,,,,,,,,,
2019-01-31,3.39,6.9,1,2.6,3.47,0,,,,,,,,,,
2019-02-01,1.49,0.81,1.1,0.1,0.87,0,,,,,,,,,,
2019-02-02,3.45,1.58,2.2,2.8,2.51,0,,,,,,,,,,
2019-02-03,0.82,0.23,1.6,0.06,0.68,0,,,,,,,,,,
2019-02-04,2.74,0.5,1.8,3.6,2.16,0,,,,,,,,,,
2019-02-05,2.03,6.1,3.5,2.5,3.53,0,,,,,,,,,,
2019-02-06,0.28,1.08,0.55,2.9,1.20,0.45,,,,,,,,,,
2019-02-07,1.88,3.45,1.2,4.1,2.66,0.07,,,,,,,,,,
2019-02-08,1.70,0.8,2.6,0.06,1.29,0.37,,,,,,,,,,
2019-02-09,1.35,0.3,0.64,2,1.07,0,,,,,,,,,,
2019-02-10,0.46,0.29,0.07,0.01,0.21,0,,,,,,,,,,
2019-02-11,3.45,0.53,6,2.9,3.22,0,,,,,,,,,,
2019-02-12,0.36,1.63,0.09,0.78,0.71,0.75,,,,,,,,,,
